@relation 'UC-Irvine_Data-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,5-weka.filters.supervised.instance.SpreadSubsample-M10.0-X0.0-S1'

@attribute 'Adamic Adar' numeric
@attribute 'Association Strength' numeric
@attribute 'Common Neighbors' numeric
@attribute Jaccard numeric
@attribute 'Min Overlap' numeric
@attribute NMeasure numeric
@attribute 'Resource Allocation' numeric
@attribute 'Rooted PageRank' numeric
@attribute Labels {'Not Form',Form}

@data
0.264257,0.006803,1,0.037037,0.142857,0.063888,0.022727,0.002178,'Not Form'
0.453771,0.003072,2,0.04,0.095238,0.075539,0.025418,0.001546,'Not Form'
0.848607,0.008097,4,0.097561,0.210526,0.175665,0.036817,0.002022,'Not Form'
0.276938,0.001754,1,0.019231,0.066667,0.034617,0.027027,0.002487,'Not Form'
0.25069,0.01087,1,0.038462,0.25,0.060578,0.018519,0.002147,'Not Form'
0.2245,0.027778,1,0.083333,0.25,0.143592,0.011628,0.001629,'Not Form'
0.213158,0.017857,1,0.071429,0.142857,0.133038,0.009174,0.000808,'Not Form'
0.226304,0.011364,1,0.055556,0.125,0.103975,0.012048,0.001745,'Not Form'
0.407521,0.007813,2,0.052632,0.25,0.085749,0.014855,0.001542,'Not Form'
0.198278,0.00641,1,0.02381,0.25,0.036073,0.006452,0.002669,'Not Form'
0.187017,0.047619,1,0.047619,1,0.067267,0.004762,0.001495,'Not Form'
0.209988,0.008333,1,0.045455,0.125,0.083189,0.008547,0.001038,'Not Form'
0.530127,0.009852,2,0.058824,0.285714,0.094809,0.056135,0.003676,'Not Form'
0.211533,0.00303,1,0.027778,0.066667,0.053112,0.00885,0.001286,'Not Form'
0.707944,0.003979,3,0.057692,0.115385,0.108929,0.048393,0.001689,'Not Form'
0.197775,0.004464,1,0.034483,0.071429,0.066519,0.006369,0.001709,'Not Form'
0.382247,0.008333,2,0.032258,0.5,0.047036,0.010964,0.003598,'Not Form'
0.430804,0.007813,2,0.052632,0.25,0.085749,0.019428,0.001266,'Not Form'
0.215762,0.016667,1,0.066667,0.166667,0.121268,0.009709,0.001202,'Not Form'
0.209988,0.008772,1,0.017241,0.5,0.024796,0.008547,0.004598,'Not Form'
0.397252,0.015873,2,0.086957,0.285714,0.14645,0.013437,0.001165,'Not Form'
0.209243,0.000916,1,0.009804,0.083333,0.015407,0.008403,0.004813,'Not Form'
0.197775,0.001961,1,0.021739,0.058824,0.041013,0.006369,0.001794,'Not Form'
0.477444,0.006349,2,0.058824,0.133333,0.109599,0.030331,0.001564,'Not Form'
0.424102,0.006579,2,0.045455,0.25,0.072836,0.018808,0.002282,'Not Form'
0.187017,0.047619,1,0.047619,1,0.067267,0.004762,0.002304,'Not Form'
0.754693,0.004831,3,0.06383,0.130435,0.119618,0.060399,0.002167,'Not Form'
1.64532,0.002846,7,0.066667,0.233333,0.113376,0.121598,0.003865,'Not Form'
0.230908,0.03125,1,0.090909,0.25,0.158114,0.013158,0.002166,'Not Form'
0.187017,0.010417,1,0.047619,0.166667,0.082761,0.004762,0.001031,'Not Form'
0.90183,0.014706,4,0.105263,0.5,0.161955,0.049166,0.003572,'Not Form'
0.236177,0.009804,1,0.045455,0.166667,0.078446,0.014493,0.001036,'Not Form'
2.661168,0.007022,10,0.105263,0.625,0.156393,0.258294,0.005744,'Not Form'
0.185718,0.002151,1,0.006369,0.333333,0.009122,0.004587,0.002441,'Not Form'
0.969925,0.003049,4,0.057971,0.125,0.108766,0.077675,0.003102,'Not Form'
0.264257,0.00135,1,0.014493,0.076923,0.02419,0.022727,0.002673,'Not Form'
0.470004,0.006757,2,0.026316,0.5,0.038166,0.028382,0.007699,'Not Form'
0.228862,0.004167,1,0.022222,0.166667,0.034964,0.012658,0.00307,'Not Form'
0.360674,0.006329,1,0.0125,0.5,0.017896,0.0625,0.042653,'Not Form'
0.180464,0.015152,1,0.0625,0.166667,0.112867,0.003922,0.000934,'Not Form'
